Job Title,Company Name,Location,Experience Level,Years of Experience,Skills & Tools
Oracle Developer,El Mohandess Print House,"10th of Ramadan City, Sharqia",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Oracle PL/SQL | Database Design | Data Modeling | Problem Solving | Oracle Reports | Oracle Forms
Value-Based Healthcare Analytics Specialist,MEAHCO - Saudi German He...,"Katameya, Cairo",Experienced (Non-Manager),1 to 4 years,SQL | Python | Tableau | R | Power BI | HL7 | FHIR
Quality Control Engineer,Decotam,"6th of October, Giza",Experienced (Non-Manager),3 to 7 years,Engineering | Quality Control | control | Quality Assurance
Business Analytics Head,"Confidential Company - Shorouk City, Cairo","Shorouk City, Cairo",Manager,8 to 12 years,Analytics | Business Analytics | Business Intelligence | Data Management | Business Development | Business Administration | Computer Science | Management | Marketing | Real Estate | SQL
EHS Specialist,"Confidential Company - Alsadat City, Monufya","Alsadat City, Monufya",Experienced (Non-Manager),3 to 6 years,"HSE Management | Health, Safety and Environment | EHS Management | Power BI | ISO 45001 | ISO 14001 | OSHA | Manufacturing | Engineering | Microsoft Office | Quality Control | Safety"
Middle Business Data Analyst - BI Engineer,Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 3 years,Business Data Analysis | Business Intelligence (BI) | English B2 | Power BI | Databases | DWH | SQL | ETL Processes | Data Mining | SDLC | Problem Solving
Backend Developer,Thaka International,"Cairo, Egypt",Experienced (Non-Manager),3 to 6 years,Information Technology (IT) | Computer Science | PHP | Laravel | Vue.js | JavaScript | MySQL | HTML | Engineering | CSS | Git | Software Development | Software Engineering
Senior Laravel Developer,34ML,"Heliopolis, Cairo",Experienced (Non-Manager),3 to 5 years,Computer Science | Software Development | Information Technology (IT) | Software Engineering | MVC | Engineering | Git | PHP | HTML5 | Troubleshooting | Front-End | OOP | SW Development | DevOps | Database | Laravel
Instrumentation / Automation Service Engineer,Soulintec,"Alexandria, Egypt",Experienced (Non-Manager),3 to 5 years,PLC | Siemens | SCADA | Software | Computer Skills | Engineering | Information Technology (IT) | instrumentation | Automation | Computer Science | Microsoft Office | English
Senior Network Administrator,"Confidential Company - Heliopolis, Cairo","Heliopolis, Cairo",Experienced (Non-Manager),5 to 8 years,Computer Science | Engineering | Information Technology (IT) | Networking | Network Administration | CCNA Security | Project Management
Oracle Developer,National Technology,"Nasr City, Cairo",Experienced (Non-Manager),1 to 4 years,Computer Science | Information Technology (IT) | Oracle | Software Development | BI | Configuration | Database | Development | Engineering | Oracle Database | SQL | ETL
Data Analyst,National technology grou...,"6th of October, Giza",Experienced (Non-Manager),2 to 5 years,Analysis | SQL | Power BI | Microsoft Excel | Python
Business Intelligence Analyst,Arma-HSA,"New Cairo, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Analysis | Business Analysis | Business Intelligence | Administration | BI | Business Administration | Computer Science | Information Technology (IT) | Power BI
Product Engineer,Alarabia Group,"10th of Ramadan City, Sharqia",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Engineering | Product | Computer Science | Information Technology (IT) | Mechatronics | Mechanical | Production | Sales
"Senior Full Stack PHP Laravel Developer (Accounting & Financial Systems) (Full-Time, Remote)",iBrokerage Ltd.,"Cairo, Egypt",Experienced (Non-Manager),5 to 8 years,Information Technology (IT) | Laravel | Software Development | PHP | Computer Science | JavaScript | jQuery | MySQL | Finance System Developer
ERP Consultant (Microsoft Dynamics AX 2012 / D365),Allamna Integrated Solut...,"Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Dynamics AX | ERP | Microsoft Dynamics
IT Infrastructure Manager,"Confidential Company - Alexandria, Egypt","Alexandria, Egypt",Manager,12 to 20 years,Computer Science | Engineering | Information Technology (IT) | Project Management
Infrastructure Administrator,Nile Integration,"Abu Rawash, Giza",Experienced (Non-Manager),3 to 7 years,Hardware Troubleshooting | vmware esxi | Microsoft Office 365 | Microsoft Active Directory | Fortinet Firewall | Veritas | Veeam | Leased line | Computer Engineering | Computer Science | DNS | DHCP | Information Technology (IT) | Maintenance | Networking | Security | Troubleshooting | Vmware
Digital Solutions Sales Lead,Advanced Engineering Con...,"Giza, Egypt",Experienced (Non-Manager),3 to 7 years,Sales | Lead Generation | Business Development
Data Entry Clerk,Upsell,"Cairo, Egypt",Entry Level (Junior Level / Fresh Grad),1 to 2 years,Data Entry | Customer Service | Microsoft Office | Administration | Computer Science | Content Management | Customer Support | Management
Senior Network & System Administrator,Al Watania Poultry,"Smart Village, Giza",Experienced (Non-Manager),5 to 7 years,CCNA | CCNP | Computer Science | firewalls | Information Technology (IT) | Office 365 | MCSE | Installation | Engineering | ESXi | KVM | Sophos | Network Engineering | Network & System Engineer | Infrastructure Administrator
Quality Control Engineer,Electronic & Electrical ...,"Cairo, Egypt",Experienced (Non-Manager),2 to 5 years,Engineering | Quality Control | Electronics | Six Sigma | Communication | Mechanical | Biomedical | Mechatronics | Production | Quality Assurance
Sales Account Manager,Target Integrated System...,"Maadi, Cairo",Experienced (Non-Manager),2 to 6 years,CRM | account manager | Sales | Sales Target | sales skills | Software | business | Communication | Communication skills | Computer Science | Customer Service | English | Management | Marketing
System Administrator,Premium Card,"Dokki, Giza",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Information Technology (IT) | System Administration | System administrator
Software Developer,RISEUP (Endemag for Admi...,"Maadi, Cairo",Experienced (Non-Manager),1 to 3 years,Computer Science | Information Technology (IT) | Software Development | Software Engineering | JavaScript | SQL | React | Java | Git | Engineering | Design | CI/CD | C# | Python | CSS Javascript | Typescript | .Net | AWS | IaaS | PaaS | EC2 | Lamda | Amazon S3 | API Gateway | Amazon Redshift | AI/ML
Senior Mechanical Engineer,EPP,"Port Said, Egypt",Experienced (Non-Manager),5 to 10 years,Mechanical Engineering | rotating equipment | Maintenance | Manufacturing | Mechanical | Communication | API | Computer Science | Engineering | Information Technology (IT) | Management
Routing Supervisor- (Sales Planning),Arma-HSA,"New Cairo, Cairo",Experienced (Non-Manager),3 to 7 years,Business Analysis | Business Analytics | Business Planning | Sales Planning
AI-Native Software Engineer (Full-Stack),Vertex Technologies,"Cairo, Egypt",Experienced (Non-Manager),More than 3 years,Backend Development | Git | SQL | Web Development | Unit Testing | Cloud Technologies | Microservices | Node.js | AI-assisted development | Agentic engineering | Claude Code | GitHub Copilot | Cursor
Sales Engineer – Industrial Solutions (Cairo),Trust Engineering Compan...,"Alexandria, Egypt",Experienced (Non-Manager),2 to 5 years,Sales | Technical Sales | Sales engineer | Customer Support | Engineering Services | Sales skills | Maintenance Engineering | Industria maintenance products | Outdoor Sales | Field Sales | Engineering | English | petrochemical | Sales Target | Science | Software | Sales Engineer Technical Sales Industrial Sales Mechanical Engineer Electrical Engineer Mechatronics Engineer Maintenance Engineer Industrial Solutions Lubricants Welding MRO Business Development Field Sales Engineering Sales Technical Support Industrial | Customer Service | Mechanical | B2B Sales Industrial Products
Back Office Application Support Engineer,"Confidential Company - Shorouk City, Cairo","Shorouk City, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Application Support | Computer Science | Information Technology (IT) | Information Systems | Microsoft Office | Communication | Customer Support
Senior Backend Engineer (Node.js / NestJS / TypeScript),tech technology,"Cairo, Egypt",Experienced (Non-Manager),More than 3 years,Node.js | Software Development | Software Engineering | Typescript | Nest | Architecture | AWS | Computer Science | Design | Engineering | Information Technology (IT)
R&D Engineer,Alex form,"Alexandria, Egypt",Entry Level (Junior Level / Fresh Grad),2 to 5 years,R&D | Engineering | Design
SAP Enterprise Asset Management (EAM) Consultant,Intrasoft ME,"Cairo, Egypt",Experienced (Non-Manager),5 to 7 years,SAP | EAM | Accounts Payable | Computer Science | Information Technology (IT) | SAP PA
Senior System Admin,Orion,"Madinaty, Cairo",Experienced (Non-Manager),3 to 5 years,Computer Science | Engineering | Information Technology (IT) | System Administration | System Admin | Computer Engineering
Senior Business Analyst,Egabi FSI,"Sheraton, Cairo",Experienced (Non-Manager),More than 4 years,Business Analyst | Computer Science | Business Analysis | Information Technology (IT) | English | Testing | Analysis | business | analytical | Communication skills | product owner
ETL & BI Developer (Alteryx & Tableau),ISFP,"Smouha, Alexandria",Experienced (Non-Manager),3 to 7 years,BI | ETL | Tableau
Quality Control Chemist,National Paints,"Obour City, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 3 years,Quality Assurance | Quality Control
Data Analyst,EGMED,"Cairo, Egypt",Experienced (Non-Manager),3 to 6 years,Analysis | Computer Science | Data Analysis | Information Technology (IT)
IT Specialist,ElSaba Group Co.,"Katameya, Cairo",Experienced (Non-Manager),2 to 3 years,Computer Science | Information Systems | Information Technology (IT) | Technical Support
Microbiology Analyst,National Company For Mai...,"10th of Ramadan City, Sharqia",Entry Level (Junior Level / Fresh Grad),0 to 2 years,Microbiological Testing | Instrumental Background | Microbiology | Biochemistry | Chemistry | ESLP | Pharmacy | Science | Pharmaceutical
Full Stack Developer,GOLD ERA,"Cairo, Egypt",Experienced (Non-Manager),2 to 5 years,Computer Science | Information Technology (IT) | Software Development | JavaScript | HTML | CSS | Typescript | Next.js | •	Tailwind CSS | Node.js | Express.js | Prisma ORM
Data Analyst & Office Manager,"Confidential Company - Mohandessin, Giza","Mohandessin, Giza",Experienced (Non-Manager),8 to 10 years,Administration | Data Analysis | Data Entry | Microsoft Office | Management | Microsoft Excel | Analysis | Business Administration | Business Analysis | Computer Science | Finance | Office management
Technical Support Specialist,Orion,"Madinaty, Cairo",Experienced (Non-Manager),2 to 5 years,Technical Support | computer hardware | software applications
Network Trainer,MICA,"Haram, Giza",Entry Level (Junior Level / Fresh Grad),0 to 1 year,Computer Science | Teaching | Information Technology (IT) | Electronics | Engineering | Network | Networking | Security | Training | CCNA | firewalls | MCSA 2012 | Network Infrastructure | Network Security | Network Engineering
Senior UX-UI Product Designer,Aptivamena Tech,"Cairo, Egypt",Experienced (Non-Manager),More than 5 years,UI/UX | Information Technology (IT) | UI | UX | Figma | Computer Science | CSS | Design | Development | Engineering | Graphic Design | React
Junior GIS Technician,Citylogix ME,"Katameya, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 3 years,Arc GIS | GIS | QGIS
AI Engineer,ITGoals,"New Cairo, Cairo",Experienced (Non-Manager),3 to 7 years,AI | Computer Science | Engineering | Information Technology (IT)
IT Associate,Axios International,"Dokki, Giza",Experienced (Non-Manager),2 to 4 years,Information Technology (IT) | Azure | Administration | Computer Science | Microsoft Office | Software Engineering | Java
Information Systems Department Manager,"Confidential Company - New Cairo, Cairo","New Cairo, Cairo","Senior Management (CEO, GM, Director, Head)",18 to 20 years,Information Systems | Computer Science | Project Management
Data Governance Engineer,Etisalat Egypt,"Mohandessin, Giza",Experienced (Non-Manager),3 to 5 years,Computer Engineering | Computer Science | Engineering | Information Technology (IT) | Data Governance (DG) | Data Governance | Data modelling | DWH | Data Modelling Management | Data Warehouse | Cloud & Data Engineering Concepts | Data Privacy & Compliance | ETL | Agile | data quality | SQL | Python | Spark | IBM Tools | data quality tools | catalog tools | Microsoft Azure | Azure DevOps Server | Windows Azure | Azure | SQL Azure | Erwin | PII identification | data classification | Agile Methodologies | regulatory compliance
Oracle Consultant- HCM,Albawani | البواني,"Cairo, Egypt",Experienced (Non-Manager),4 to 7 years,HCM | ERP | Computer Science | Information Technology (IT) | Oracle | Construction | ERP Implementation | Fusion | HR | Oracle Fusion | Payroll | Recruitment
Oracle Fusion HCM Technical Consultant,Dautom,"Cairo, Egypt",Experienced (Non-Manager),More than 7 years,Fusion | HCM | Oracle | Oracle technical | Oracle Fusion | Information Technology (IT) | Computer Science | Oracle HCM | SOAP | Cloud | XML
Enterprise AI Engineer,Specialized Seamless Ser...,"Cairo, Egypt",Experienced (Non-Manager),3 to 7 years,Python | Oracle | AI
Junior Technical Support Specialist,Information Dynamics,"Nasr City, Cairo",Entry Level (Junior Level / Fresh Grad),0 to 3 years,Computer Science | Technical Support | Information Technology (IT) | Computer Engineering | Engineering | Customer Service | SQL
ERP Technical Support,TAB ERP Solutions,"New Cairo, Cairo",Experienced (Non-Manager),More than 4 years,Accounting | SQL | Technical Support | Customer | ERP | Customer Service | Analysis | Computer Science | Information Technology (IT)
IT Specialist,OPEX Egypt,"Obour City, Cairo",Entry Level (Junior Level / Fresh Grad),1 to 2 years,Information Technology (IT) | Technical Support | LAN | Maintenance | Network | Network Administration | Security | Computer Science
